name,age,selection129,selection50,sex_fct,smoking_at_home,parent_smoking,sibling_smoking,alcohol_int,tobacco_int,cannabis_int,alcohol_fct,tobacco_fct,cannabis_fct,money,romantic,leisure_music_at_home,leisure_shopping,leisure_reading,leisure_watch_sports,leisure_play_sports,leisure_hang_streets,leisure_videogames,leisure_hobby,leisure_organized,leisure_movies,leisure_concerts,leisure_church,leisure_pet,leisure_dancing,leisure_be_bored,music_rock,music_chart,music_reggae,music_dance,music_heavy,music_techno,music_folk,music_rave,music_indie,music_jazz,music_classical,music_sixty,music_house,music_grunge,music_rap,music_hiphop,in_degree,out_degree,tobacco_dimaria,alcohol_dimaria,cannabis_dimaria
s086,13.6,TRUE,TRUE,Female,yes,yes,no,3,1,2,Once a month,Never,Tried once,10,no,Most days,Most days,Most days,Once a month,Once a week,Once a week,Once a month,Once a week,Never,Once a month,Never,Never,Never,Never,Never,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,4,5,0,1,0
s087,13.7,TRUE,TRUE,Female,yes,no,yes,1,1,1,Never,Never,Never,20,no,Most days,Once a week,Most days,Never,Most days,Most days,Once a week,Once a week,Never,Once a week,Never,Never,Once a week,Never,Never,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,5,6,0,0,0
s088,13.2,TRUE,TRUE,Female,yes,yes,no,4,1,1,Once a week,Never,Never,4,yes,Most days,Once a week,Never,Once a month,Most days,Once a week,Most days,Most days,Never,Once a week,Never,Never,Most days,Once a month,Never,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,7,3,0,1,0
s089,13.1,TRUE,TRUE,Female,no,no,no,4,1,1,Once a week,Never,Never,10,no,Most days,Most days,Most days,Once a month,Most days,Most days,Most days,Never,Once a week,Once a week,Once a month,Never,Most days,Once a week,Never,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,8,6,0,1,0
s090,13.2,TRUE,FALSE,Male,no,no,no,2,1,1,Once or twice a year,Never,Never,1,no,Most days,Once a week,Most days,Once a week,Most days,Never,Most days,Never,Never,Never,Never,Never,Most days,Never,Never,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,2,3,0,0,0
s091,13,TRUE,FALSE,Male,yes,yes,no,2,1,1,Once or twice a year,Never,Never,7.5,yes,Most days,Most days,Most days,Never,Most days,Most days,Most days,Most days,Once a week,Most days,Most days,Never,Most days,Never,Never,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,4,0,0,0,0
s092,13.4,TRUE,FALSE,Male,yes,yes,no,2,1,1,Once or twice a year,Never,Never,0.5,yes,Never,Never,Never,Once a month,Once a week,Never,Once a week,Most days,Most days,Never,Once a month,Never,Most days,Once a week,Never,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,2,2,0,0,0
s093,13,TRUE,TRUE,Female,yes,yes,no,3,1,1,Once a month,Never,Never,30,yes,Most days,Once a week,Most days,Once a month,Most days,Most days,Never,Most days,Never,Once a week,Once a month,Never,Most days,Never,Never,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,3,2,0,1,0
s094,13.5,FALSE,FALSE,Male,no,no,no,4,1,1,Once a week,Never,Never,4,yes,Most days,Once a week,Most days,Most days,Most days,Never,Most days,Most days,Once a month,Most days,Once a week,Never,Once a month,Most days,Never,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,5,4,0,1,0
s095,13,TRUE,FALSE,Male,yes,yes,no,2,1,1,Once or twice a year,Never,Never,6,no,Most days,Once a week,Most days,Never,Never,Never,Once a week,Most days,Once a week,Once a month,Never,Once a week,Never,Never,Never,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,no,5,4,0,0,0
s096,13.2,FALSE,FALSE,Male,yes,yes,no,3,1,1,Once a month,Never,Never,10.5,no,Most days,Once a week,Once a week,Never,Once a week,Once a week,Most days,Once a week,Most days,Once a month,Never,Never,Most days,Never,Once a month,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,0,3,0,1,0
s097,13.3,TRUE,TRUE,Female,no,no,no,2,1,1,Once or twice a year,Never,Never,3.5,no,Most days,Once a week,Most days,Never,Once a week,Never,Once a week,Once a week,Never,Once a month,Never,Never,Most days,Never,Once a week,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,2,5,0,0,0
s098,13.5,TRUE,FALSE,Male,no,no,no,4,1,3,Once a week,Never,Occasional,25,no,Most days,Once a week,Most days,Never,Once a week,Most days,Most days,Once a week,Never,Once a month,Never,Never,Most days,Never,Never,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,no,4,6,0,1,1
s099,13.8,TRUE,TRUE,Female,yes,yes,no,3,1,2,Once a month,Never,Tried once,4,yes,Most days,Once a week,Once a month,Once a month,Once a week,Most days,Once a week,Once a month,Never,Once a month,Never,Never,Once a month,Once a month,Never,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,3,4,0,1,0
s100,13.6,TRUE,FALSE,Male,yes,yes,no,3,1,2,Once a month,Never,Tried once,2.5,no,Most days,Most days,Once a week,Never,Once a month,Never,Most days,Once a week,Never,Never,Once a month,Never,Most days,Never,Once a month,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,1,4,0,1,0
s101,13.4,TRUE,FALSE,Male,yes,yes,yes,2,1,2,Once or twice a year,Never,Tried once,5,no,Most days,Once a week,Most days,Most days,Most days,Most days,Most days,Once a week,Once a week,Once a month,Never,Once a month,Most days,Never,Never,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,yes,no,5,4,0,0,0
s102,13.6,FALSE,FALSE,Male,yes,no,no,4,3,2,Once a week,Regular,Tried once,3.4,yes,Most days,Most days,Once a week,Never,Most days,Most days,Most days,Never,Never,Most days,Never,Once a week,Never,Once a month,Never,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,0,2,1,1,0
s103,13.4,FALSE,FALSE,Male,yes,yes,no,3,1,1,Once a month,Never,Never,10,yes,Most days,Once a week,Most days,Once a week,Most days,Never,Most days,Once a week,Once a week,Once a week,Once a month,Once a week,Most days,Never,Never,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,4,4,0,1,0
s104,13.7,FALSE,FALSE,Female,yes,yes,no,3,1,1,Once a month,Never,Never,10,yes,Most days,Once a week,Most days,Once a month,Most days,Once a week,Once a week,Most days,Once a week,Once a month,Once a month,Once a week,Most days,Once a week,Never,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,yes,8,3,0,1,0
s105,12.9,TRUE,FALSE,Female,yes,yes,no,2,1,1,Once or twice a year,Never,Never,6,no,Most days,Most days,Most days,Never,Once a week,Once a month,Once a week,Never,Never,Once a month,Never,Never,Once a week,Never,Once a month,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,4,6,0,0,0
s106,13.8,TRUE,FALSE,Male,no,no,no,2,1,1,Once or twice a year,Never,Never,2.5,no,Most days,Once a month,Once a week,Once a month,Once a week,Once a month,Once a week,Once a week,Once a week,Once a month,Never,Never,Never,Never,Once a week,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,6,4,0,0,0
s107,13.2,TRUE,TRUE,Female,yes,yes,no,4,1,1,Once a week,Never,Never,10,no,Most days,Once a week,Most days,Never,Once a week,Most days,Once a week,Most days,Never,Once a month,Never,Never,Never,Never,Once a week,no,yes,no,yes,no,yes,no,no,yes,no,no,no,yes,no,yes,no,2,2,0,1,0
s108,12.8,TRUE,FALSE,Male,no,no,no,2,1,1,Once or twice a year,Never,Never,5.75,no,Most days,Most days,Most days,Once a month,Most days,Once a week,Most days,Once a week,Most days,Once a month,Never,Once a week,Never,Never,Once a week,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,2,3,0,0,0
s109,13,TRUE,FALSE,Male,yes,yes,no,2,1,1,Once or twice a year,Never,Never,6.5,yes,Most days,Most days,Once a week,Most days,Once a week,Never,Most days,Once a week,Never,Most days,Once a week,Never,Most days,Once a month,Never,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,3,2,0,0,0
s110,13.6,TRUE,FALSE,Male,no,no,no,2,1,1,Once or twice a year,Never,Never,5,yes,Most days,Never,Once a week,Once a week,Most days,Never,Most days,Most days,Once a week,Once a month,Never,Never,Most days,Most days,Never,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,2,0,0,0,0
s111,13,TRUE,FALSE,Male,yes,yes,no,3,1,1,Once a month,Never,Never,40,yes,Most days,Once a month,Once a month,Once a week,Once a week,Most days,Most days,Most days,Never,Once a week,Once a month,Never,Most days,Once a month,Never,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,4,2,0,1,0
s112,13.5,TRUE,TRUE,Female,no,no,no,2,1,1,Once or twice a year,Never,Never,2.5,no,Most days,Once a week,Most days,Never,Most days,Once a week,Most days,Never,Once a week,Once a month,Never,Never,Never,Never,Never,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,3,6,0,0,0
s113,12.8,TRUE,FALSE,Male,yes,yes,no,2,1,2,Once or twice a year,Never,Tried once,4,no,Most days,Once a week,Once a week,Never,Once a week,Never,Never,Once a week,Never,Once a month,Never,Never,Never,Never,Never,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,6,6,0,0,0
s114,13.2,TRUE,TRUE,Female,yes,yes,no,3,1,1,Once a month,Never,Never,10,yes,Most days,Once a week,Once a week,Never,Once a week,Never,Never,Once a week,Never,Once a month,Once a month,Once a week,Never,Never,Never,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,no,yes,yes,no,4,2,0,1,0
s115,13.5,TRUE,FALSE,Female,yes,yes,no,4,1,1,Once a week,Never,Never,30,yes,Most days,Most days,Most days,Most days,Most days,Most days,Once a week,Never,Most days,Once a week,Once a month,Never,Most days,Once a week,Never,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,10,4,0,1,0
s116,13,TRUE,FALSE,Male,yes,yes,no,2,1,1,Once or twice a year,Never,Never,10,no,Most days,Most days,Most days,Once a month,Once a week,Never,Most days,Most days,Once a week,Never,Never,Once a week,Never,Never,Once a week,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,3,3,0,0,0
s117,13.7,TRUE,FALSE,Male,yes,yes,no,3,1,1,Once a month,Never,Never,12,no,Once a week,Most days,Once a week,Once a week,Most days,Most days,Once a week,Most days,Never,Once a week,Never,Never,Once a week,Once a month,Never,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,3,2,0,1,0
s118,13.6,TRUE,TRUE,Female,no,no,no,2,1,1,Once or twice a year,Never,Never,5,yes,Most days,Once a week,Most days,Once a week,Once a week,Most days,Most days,Never,Never,Once a week,Never,Never,Most days,Never,Never,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1,4,0,0,0
s119,13.5,FALSE,FALSE,Female,no,no,no,1,1,1,Never,Never,Never,10,yes,Most days,Never,Most days,Most days,Most days,Never,Once a week,Most days,Once a week,Once a month,Never,Once a week,Most days,Never,Never,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,yes,no,2,2,0,0,0
s120,13,TRUE,FALSE,Male,yes,yes,no,NA,1,1,Never,Never,Never,6,no,Most days,Once a week,Most days,Once a week,Most days,Most days,Once a week,Never,Once a week,Once a month,Never,Never,Most days,Never,Never,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,7,2,0,NA,0
s121,13.5,TRUE,TRUE,Female,no,no,no,1,1,1,Never,Never,Never,5,no,Most days,Most days,Most days,Once a month,Most days,Once a week,Once a week,Most days,Never,Once a month,Once a month,Once a week,Most days,Once a month,Never,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,2,3,0,0,0
s122,13.7,TRUE,FALSE,Male,yes,yes,no,4,1,2,Once a week,Never,Tried once,6.5,yes,Most days,Never,Never,Once a week,Most days,Most days,Never,Never,Most days,Once a week,Never,Never,Never,Once a month,Never,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,3,4,0,1,0
s123,13.2,TRUE,TRUE,Female,no,no,no,4,2,1,Once a week,Occasional,Never,20,no,Most days,Most days,Once a week,Never,Most days,Most days,Never,Once a week,Never,Once a month,Never,Never,Most days,Never,Never,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,3,2,1,1,0
s124,NA,FALSE,FALSE,Male,yes,yes,no,2,1,2,Once or twice a year,Never,Tried once,5,no,Most days,Once a week,Once a week,Never,Most days,Never,Most days,Once a week,Never,Once a month,Never,Never,Never,Never,Never,no,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,no,0,1,0,0,0
s125,12.9,TRUE,FALSE,Female,yes,yes,no,NA,1,1,Never,Never,Never,12.5,yes,Most days,Once a week,Once a month,Never,Once a month,Never,Once a month,Most days,Never,Once a week,Never,Never,Most days,Never,Most days,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,2,3,0,NA,0
s126,13.7,TRUE,TRUE,Female,no,no,no,4,3,3,Once a week,Regular,Occasional,15.5,no,Most days,Once a week,Most days,Never,Most days,Most days,Never,Never,Never,Never,Never,Never,Most days,Once a month,Never,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,4,3,1,1,1
s127,13.5,TRUE,TRUE,Female,yes,yes,no,2,1,1,Once or twice a year,Never,Never,5,yes,Once a week,Once a week,Most days,Once a month,Most days,Never,Once a week,Once a week,Never,Once a month,Never,Never,Most days,Never,Never,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,2,4,0,0,0
s128,14.2,FALSE,FALSE,Female,yes,yes,yes,5,3,4,More than once a week,Regular,Regular,5,yes,Most days,Never,Never,Never,Never,Most days,Never,Never,Never,Never,Once a month,Never,Once a week,Most days,Never,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,2,2,1,1,1
s129,14.6,FALSE,FALSE,Male,no,no,no,4,1,3,Once a week,Never,Occasional,10,no,Most days,Once a week,Once a month,Most days,Most days,Once a week,Most days,Never,Once a week,Once a month,Once a month,Never,Never,Once a month,Never,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,3,0,0,1,1
s130,13.6,TRUE,FALSE,Male,no,no,no,3,2,1,Once a month,Occasional,Never,2,no,Most days,Most days,Most days,Never,Most days,Most days,Most days,Once a week,Never,Once a month,Never,Never,Never,Once a month,Never,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,2,4,1,1,0
s131,12.9,TRUE,TRUE,Female,yes,yes,no,5,2,3,More than once a week,Occasional,Occasional,20,no,Most days,Most days,Most days,Most days,Once a week,Most days,Once a month,Never,Never,Once a month,Never,Never,Never,Never,Never,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,7,4,1,1,1
s132,13.3,TRUE,TRUE,Female,yes,yes,yes,NA,1,1,Never,Never,Never,5,no,Most days,Once a week,Most days,Never,Never,Most days,Most days,Once a week,Once a week,Once a week,Never,Never,Never,Never,Never,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,no,2,3,0,NA,0
s133,13.1,FALSE,FALSE,Female,no,no,no,4,1,2,Once a week,Never,Tried once,20,yes,Most days,Once a week,Once a week,Once a month,Once a week,Never,Never,Once a week,Never,Once a week,Never,Never,Never,Once a month,Never,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,5,5,0,1,0
s134,13.1,TRUE,TRUE,Female,no,no,no,2,1,1,Once or twice a year,Never,Never,NA,no,Most days,Most days,Once a week,Once a week,Once a week,Never,Once a week,Once a month,Most days,Once a month,Never,Once a week,Never,Never,Once a month,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,4,3,0,0,0
s135,12.9,TRUE,FALSE,Female,yes,yes,no,3,1,1,Once a month,Never,Never,10,no,Most days,Most days,Most days,Never,Never,Most days,Once a week,Once a week,Never,Once a week,Never,Never,Never,Never,Never,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,3,2,0,1,0
s136,13.7,FALSE,FALSE,Male,yes,yes,NA,NA,NA,NA,Never,Never,Never,NA,NA,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2,0,NA,NA,NA
s137,13.4,TRUE,FALSE,Male,no,no,no,2,1,1,Once or twice a year,Never,Never,12.5,no,Most days,Once a week,Once a month,Once a week,Most days,Never,Most days,Once a month,Never,Once a month,Never,Never,Most days,Never,Never,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,1,6,0,0,0
s138,12.9,TRUE,FALSE,Male,yes,yes,no,2,1,1,Once or twice a year,Never,Never,10.5,no,Most days,Once a month,Most days,Most days,Most days,Never,Once a week,Once a week,Most days,Once a week,Once a month,Once a week,Most days,Never,Never,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,5,3,0,0,0
s139,13.4,TRUE,TRUE,Female,no,no,no,2,1,1,Once or twice a year,Never,Never,5,no,Most days,Once a week,Once a week,Never,Once a week,Never,Never,Most days,Never,Once a month,Never,Once a week,Most days,Never,Never,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,3,0,0,0,0
s140,13,TRUE,FALSE,Male,yes,yes,yes,2,1,1,Once or twice a year,Never,Never,6,no,Most days,Once a week,Most days,Once a week,Most days,Never,Most days,Most days,Never,Once a week,Once a month,Never,Most days,Never,Never,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,4,4,0,0,0
s141,13.2,TRUE,FALSE,Male,yes,yes,no,2,1,1,Once or twice a year,Never,Never,5,no,Once a week,Once a week,Most days,Most days,Most days,Most days,Most days,Most days,Never,Never,Never,Never,Most days,Never,Once a week,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,3,3,0,0,0
s142,12.9,TRUE,FALSE,Male,no,no,no,3,1,1,Once a month,Never,Never,11,yes,Most days,Most days,Most days,Most days,Most days,Never,Most days,Once a week,Never,Once a month,Never,Never,Never,Once a month,Never,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,2,5,0,1,0
s143,13.3,TRUE,TRUE,Female,yes,yes,no,2,1,1,Once or twice a year,Never,Never,13,no,Most days,Once a week,Once a week,Never,Once a week,Most days,Never,Once a week,Once a week,Once a month,Never,Never,Never,Never,Never,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,2,3,0,0,0
s144,12.9,TRUE,FALSE,Male,yes,no,yes,5,3,4,More than once a week,Regular,Regular,25,yes,Most days,Most days,Never,Never,Most days,Most days,Never,Never,Once a week,Once a month,Most days,Never,Most days,Most days,Never,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,3,2,1,1,1
s145,13.6,FALSE,FALSE,Female,no,no,no,2,1,1,Once or twice a year,Never,Never,2,no,Most days,Once a week,Most days,Never,Once a week,Once a week,Never,Once a week,Never,Once a month,Once a month,Never,Never,Never,Never,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,1,5,0,0,0
s146,12.9,TRUE,FALSE,Male,no,no,no,5,1,1,More than once a week,Never,Never,5,yes,Most days,Most days,Most days,Once a week,Once a week,Most days,Most days,Never,Never,Most days,Most days,Never,Most days,Once a week,Never,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,4,5,0,1,0
s147,13.2,TRUE,TRUE,Female,no,no,no,1,1,1,Never,Never,Never,5,no,Most days,Once a week,Once a month,Never,Most days,Never,Once a month,Most days,Once a week,Once a month,Never,Once a week,Most days,Never,Never,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,3,3,0,0,0
s148,13.4,TRUE,FALSE,Male,yes,yes,yes,2,1,1,Once or twice a year,Never,Never,10,no,Most days,Once a week,Most days,Most days,Most days,Once a week,Most days,Once a week,Never,Once a week,Never,Never,Most days,Once a week,Never,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,no,5,4,0,0,0
s149,13.5,TRUE,FALSE,Male,yes,yes,no,1,1,2,Never,Never,Tried once,5,no,Most days,Once a week,Once a month,Once a month,Most days,Most days,Most days,Never,Most days,Once a month,Never,Never,Never,Never,Never,yes,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,6,3,0,0,0
s150,13.4,TRUE,FALSE,Male,yes,yes,no,2,1,1,Once or twice a year,Never,Never,5.5,no,Once a week,Once a week,Once a month,Never,Most days,Never,Most days,Most days,Never,Once a month,Never,Never,Never,Never,Once a month,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,3,6,0,0,0
s151,13.4,TRUE,FALSE,Male,yes,yes,yes,3,1,1,Once a month,Never,Never,5,no,Most days,Never,Never,Once a week,Most days,Never,Most days,Never,Never,Once a month,Never,Never,Never,Never,Never,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,7,6,0,1,0
s152,13,TRUE,TRUE,Female,yes,yes,no,1,1,2,Never,Never,Tried once,10,no,Once a week,Once a week,Most days,Once a month,Most days,Most days,Once a month,Once a month,Never,Once a month,Never,Never,Never,Once a month,Never,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,1,0,0,0,0
s157,13.1,FALSE,FALSE,Female,yes,yes,NA,NA,NA,NA,Never,Never,Never,NA,NA,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2,0,NA,NA,NA
